,Datetime,Open,High,Low,Close,Adj Close,Volume
0,2023-03-26 00:00:00+00:00,27495.5234375,27634.1015625,27445.046875,27578.982421875,27578.982421875,0
1,2023-03-26 01:00:00+00:00,27557.626953125,27659.15234375,27551.017578125,27622.58203125,27622.58203125,9844736
2,2023-03-26 02:00:00+00:00,27621.544921875,27635.4921875,27588.34765625,27628.107421875,27628.107421875,0
3,2023-03-26 03:00:00+00:00,27622.3671875,27644.619140625,27539.998046875,27539.998046875,27539.998046875,0
4,2023-03-26 04:00:00+00:00,27547.22265625,27553.140625,27502.787109375,27516.853515625,27516.853515625,0
5,2023-03-26 05:00:00+00:00,27532.6640625,27574.849609375,27497.248046875,27570.43359375,27570.43359375,0
6,2023-03-26 06:00:00+00:00,27569.3046875,27589.455078125,27511.4453125,27518.376953125,27518.376953125,0
7,2023-03-26 07:00:00+00:00,27521.3984375,27554.5546875,27510.77734375,27527.642578125,27527.642578125,0
8,2023-03-26 08:00:00+00:00,27527.740234375,27762.12890625,27514.7265625,27696.232421875,27696.232421875,318080000
9,2023-03-26 09:00:00+00:00,27688.349609375,27727.54296875,27653.279296875,27683.9140625,27683.9140625,34548736
10,2023-03-26 10:00:00+00:00,27698.51953125,27718.787109375,27668.728515625,27704.46875,27704.46875,0
11,2023-03-26 11:00:00+00:00,27705.078125,27905.97265625,27678.146484375,27905.97265625,27905.97265625,57478144
12,2023-03-26 12:00:00+00:00,27897.958984375,27979.26953125,27870.841796875,27935.275390625,27935.275390625,695643136
13,2023-03-26 13:00:00+00:00,27940.65625,28178.14453125,27913.48046875,28178.14453125,28178.14453125,196941824
14,2023-03-26 14:00:00+00:00,28166.595703125,28172.826171875,27736.6484375,27795.703125,27795.703125,367696896
15,2023-03-26 15:00:00+00:00,27800.791015625,27869.85546875,27756.875,27869.85546875,27869.85546875,0
16,2023-03-26 16:00:00+00:00,27853.99609375,27881.990234375,27765.611328125,27770.080078125,27770.080078125,0
17,2023-03-26 17:00:00+00:00,27689.939453125,27875.845703125,27689.939453125,27844.375,27844.375,0
18,2023-03-26 18:00:00+00:00,27856.6015625,27930.244140625,27801.806640625,27828.25,27828.25,5190656
19,2023-03-26 19:00:00+00:00,27831.591796875,27867.30078125,27809.064453125,27850.609375,27850.609375,0
20,2023-03-26 20:00:00+00:00,27851.583984375,27922.599609375,27724.255859375,27799.53125,27799.53125,0
21,2023-03-26 21:00:00+00:00,27800.080078125,27848.17578125,27779.2734375,27840.580078125,27840.580078125,0
22,2023-03-26 22:00:00+00:00,27862.578125,28087.353515625,27842.009765625,28072.564453125,28072.564453125,259963904
23,2023-03-26 23:00:00+00:00,28057.93359375,28138.28515625,27986.7265625,27986.7265625,27986.7265625,349856768
24,2023-03-27 00:00:00+00:00,27994.068359375,28037.92578125,27938.021484375,28016.966796875,28016.966796875,32004096
25,2023-03-27 01:00:00+00:00,28014.142578125,28031.51171875,27835.4453125,27858.875,27858.875,142208000
26,2023-03-27 02:00:00+00:00,27849.74609375,27885.5234375,27814.419921875,27880.798828125,27880.798828125,122578944
