Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-01 00:00:00+00:00,28473.33203125,28546.123046875,28424.826171875,28434.33984375,28434.33984375,0
2023-04-01 01:00:00+00:00,28436.59375,28601.603515625,28415.2109375,28601.603515625,28601.603515625,0
2023-04-01 02:00:00+00:00,28613.984375,28802.45703125,28486.76953125,28583.669921875,28583.669921875,252997632
2023-04-01 03:00:00+00:00,28588.55859375,28598.03125,28518.01953125,28542.728515625,28542.728515625,0
2023-04-01 04:00:00+00:00,28547.671875,28622.62109375,28534.17578125,28581.58984375,28581.58984375,0
2023-04-01 05:00:00+00:00,28583.587890625,28591.013671875,28539.658203125,28566.03515625,28566.03515625,0
2023-04-01 06:00:00+00:00,28570.001953125,28570.48828125,28391.037109375,28472.787109375,28472.787109375,52531200
2023-04-01 07:00:00+00:00,28469.9921875,28482.1484375,28371.177734375,28432.0703125,28432.0703125,0
2023-04-01 08:00:00+00:00,28434.064453125,28491.435546875,28407.462890625,28455.439453125,28455.439453125,0
2023-04-01 09:00:00+00:00,28452.791015625,28472.69921875,28432.3671875,28440.80859375,28440.80859375,0
2023-04-01 10:00:00+00:00,28437.275390625,28470.82421875,28400.16015625,28470.82421875,28470.82421875,0
2023-04-01 11:00:00+00:00,28477.380859375,28477.634765625,28374.435546875,28384.462890625,28384.462890625,0
2023-04-01 12:00:00+00:00,28382.677734375,28436.572265625,28361.05859375,28436.572265625,28436.572265625,0
2023-04-01 13:00:00+00:00,28438.8359375,28446.41015625,28400.30078125,28426.17578125,28426.17578125,0
2023-04-01 14:00:00+00:00,28428.400390625,28431.330078125,28323.79296875,28346.06640625,28346.06640625,0
2023-04-01 15:00:00+00:00,28341.46875,28393.2578125,28297.171875,28393.2578125,28393.2578125,0
2023-04-01 16:00:00+00:00,28391.994140625,28443.7890625,28329.96484375,28331.345703125,28331.345703125,0
2023-04-01 17:00:00+00:00,28342.82421875,28385.93359375,28338.67578125,28378.529296875,28378.529296875,0
2023-04-01 18:00:00+00:00,28376.078125,28386.529296875,28346.07421875,28371.001953125,28371.001953125,0
2023-04-01 19:00:00+00:00,28379.42578125,28389.21484375,28351.65234375,28385.21875,28385.21875,0
2023-04-01 20:00:00+00:00,28385.857421875,28564.201171875,28381.982421875,28459.400390625,28459.400390625,0
2023-04-01 21:00:00+00:00,28455.755859375,28515.875,28435.443359375,28490.4765625,28490.4765625,0
2023-04-01 22:00:00+00:00,28488.7265625,28541.75,28488.7265625,28529.974609375,28529.974609375,0
2023-04-01 23:00:00+00:00,28529.48828125,28543.830078125,28464.060546875,28466.19921875,28466.19921875,0
