Datetime,Open,High,Low,Close,Adj Close,Volume
2023-03-01 00:00:00+00:00,23150.9296875,23218.61328125,23088.85546875,23089.736328125,23089.736328125,0
2023-03-01 01:00:00+00:00,23095.041015625,23276.646484375,23095.041015625,23270.861328125,23270.861328125,351197184
2023-03-01 02:00:00+00:00,23266.486328125,23324.884765625,23263.09375,23324.884765625,23324.884765625,148758528
2023-03-01 03:00:00+00:00,23328.1484375,23483.935546875,23328.1484375,23447.71484375,23447.71484375,678737920
2023-03-01 04:00:00+00:00,23448.91796875,23778.97265625,23446.8828125,23778.97265625,23778.97265625,659912704
2023-03-01 05:00:00+00:00,23795.744140625,23796.947265625,23675.578125,23700.65625,23700.65625,489891840
2023-03-01 06:00:00+00:00,23701.03125,23767.21484375,23695.2265625,23758.73828125,23758.73828125,432580608
2023-03-01 07:00:00+00:00,23758.12109375,23759.400390625,23713.091796875,23721.662109375,23721.662109375,0
2023-03-01 08:00:00+00:00,23723.404296875,23875.796875,23711.3203125,23875.796875,23875.796875,331554816
2023-03-01 09:00:00+00:00,23871.919921875,23878.208984375,23766.28515625,23779.765625,23779.765625,532062208
2023-03-01 10:00:00+00:00,23776.54296875,23776.54296875,23726.353515625,23775.18359375,23775.18359375,125392896
2023-03-01 11:00:00+00:00,23779.71875,23794.701171875,23731.859375,23741.0390625,23741.0390625,18544640
2023-03-01 12:00:00+00:00,23741.798828125,23788.849609375,23735.455078125,23738.404296875,23738.404296875,0
2023-03-01 13:00:00+00:00,23738.494140625,23743.865234375,23664.177734375,23700.455078125,23700.455078125,76482560
2023-03-01 14:00:00+00:00,23700.82421875,23821.146484375,23653.19140625,23777.255859375,23777.255859375,120190976
2023-03-01 15:00:00+00:00,23752.810546875,23754.755859375,23639.119140625,23721.572265625,23721.572265625,287145984
2023-03-01 16:00:00+00:00,23727.3984375,23734.7890625,23618.806640625,23719.39453125,23719.39453125,284653568
2023-03-01 17:00:00+00:00,23716.185546875,23744.935546875,23696.8828125,23726.3046875,23726.3046875,128468992
2023-03-01 18:00:00+00:00,23728.80078125,23734.60546875,23682.470703125,23691.939453125,23691.939453125,0
2023-03-01 19:00:00+00:00,23693.80078125,23701.8984375,23423.494140625,23423.494140625,23423.494140625,0
2023-03-01 20:00:00+00:00,23419.7578125,23473.1875,23393.048828125,23442.08203125,23442.08203125,148086784
2023-03-01 21:00:00+00:00,23442.060546875,23572.84765625,23411.392578125,23550.552734375,23550.552734375,0
2023-03-01 22:00:00+00:00,23551.1640625,23573.22265625,23486.39453125,23537.322265625,23537.322265625,0
2023-03-01 23:00:00+00:00,23541.337890625,23656.59375,23529.517578125,23644.326171875,23644.326171875,89608192
2023-03-02 00:00:00+00:00,23647.01953125,23736.849609375,23631.626953125,23631.626953125,23631.626953125,65382400
2023-03-02 01:00:00+00:00,23630.060546875,23631.701171875,23502.98046875,23534.931640625,23534.931640625,11835392
2023-03-02 02:00:00+00:00,23531.970703125,23550.708984375,23496.779296875,23500.220703125,23500.220703125,44038144
2023-03-02 03:00:00+00:00,23507.0234375,23519.587890625,23469.505859375,23514.4296875,23514.4296875,0
2023-03-02 04:00:00+00:00,23513.89453125,23537.791015625,23499.83984375,23537.791015625,23537.791015625,0
2023-03-02 05:00:00+00:00,23542.26953125,23552.583984375,23446.423828125,23450.46484375,23450.46484375,0
2023-03-02 06:00:00+00:00,23449.81640625,23479.171875,23426.451171875,23471.04296875,23471.04296875,0
2023-03-02 07:00:00+00:00,23465.248046875,23465.248046875,23393.5703125,23407.287109375,23407.287109375,0
2023-03-02 08:00:00+00:00,23408.376953125,23466.1484375,23378.1640625,23449.79296875,23449.79296875,0
2023-03-02 09:00:00+00:00,23450.6015625,23464.732421875,23427.814453125,23427.814453125,23427.814453125,0
2023-03-02 10:00:00+00:00,23424.9765625,23424.9765625,23379.400390625,23395.6953125,23395.6953125,0
2023-03-02 11:00:00+00:00,23394.025390625,23428.51171875,23382.134765625,23427.34765625,23427.34765625,0
